date,type,actor,affiliation,state_or_district,event,detail,race_link,significance,source_url
2026-07-18,북한,중국·북한,중국/북한,,플래닛랩스 위성— 중국 압록강 인근 대북 은밀 물자수송 재개 정황(AEI 7/14 업데이트),Planet Labs 위성사진— 압록강 인근 지점들서 중국의 대북 은밀 수송 재개 정황; 주요 고속도로 공사 인접— 베이징 인지·승인 가능성 시사; 데일리NK— 6월 시진핑-김정은 정상회담 후 단둥-신의주 화물트럭 급증·1~5월 교역 +17.6%(수입 +62.4%); 왕후닝 방북(DB 7/17)과 함께 제재 공조 균열 물증— 의회 대북 제재 강경파 논거,,1,https://www.aei.org/articles/korean-peninsula-update-july-14-2026/
2026-07-18,산업,미 해군·HD현대중공업/한화오션,미·한 정부/기업,,美 울산·거제 현지 군함 건조 검토 보도(서울경제 7/16)— MASGA 본격화,서울경제 영문판— 미국이 HD현대중공업 울산·한화오션 거제 조선소 현지 군함 직접 건조 검토; 트럼프 7/15 '한국 기업 검토·역외 건조 함정 구매' 발언(DB 7/17)의 구체화 보도; 역외 건조엔 Byrnes-Tollefson법 완화 필요— 정체 중 FY2027 NDAA(DB 7/15)가 입법 수단; 국방부·해군 RFI(DB 7/10) 트랙 연속,,1,https://en.sedaily.com/finance/2026/07/16/masga-sets-sail-as-us-weighs-building-warships-in-ulsan
2026-07-19,안보,IRGC·이란/한국 정부,이란/한국 정부,,호르무즈 남측 '기뢰 해역' 유조선 2척 폭발(7/18)— 이란 해협 폐쇄 위협 지속; 한국 14번째 유조선 홍해 우회 통과,IRNA— 7/18 자정께 호르무즈 남측 기뢰 부설 해역 통과 중 유조선 2척 화재·폭발(IRGC 주장); 이란 해협 폐쇄 위협 재천명; 한국 정부 중동 항로 우회 지속— 14번째 한국 유조선 홍해 경유 통과 성공; 미 해상봉쇄(DB 7/15) 국면 확전 리스크; 한국 원유 약 70% 호르무즈 의존— 5월 'join the mission' 압박 재점화 관찰,,1,https://www.koreajoongangdaily.com/world/iran-threatens-to-close-strait-of-hormuz-following-claims-of-tanker-explosion/12779089
2026-07-19,인사,강경화(주미대사)·Michelle Steel(주한대사),한·미 정부,,'두 대사의 교차'— 강경화 서울 협의·Steel 부임 임박(KJD 7/17 분석)— 쿠팡·관세·콘텐츠법·북핵 의제 산적,KJD 분석— 강경화 주미대사 서울 협의 중; Steel 차기 주한대사 곧 부임— 1년 반 공석 해소; 의제— 쿠팡 분쟁(백악관·의회 개입); §122 10% 관세 7/24 만료; 한국 콘텐츠법(미 국무부 표현의 자유 비판); 북핵 외교; §301 완료시한(7/20) 직전 양국 대사 라인 동시 재정비,,1,https://www.koreajoongangdaily.com/korea/a-tale-of-two-envoys-kang-kyungwha-back-in-seoul-and-new-us-ambassador-to-arrive-soon-as-key-alliance-tasks-await/12774085
2026-07-19,북한,북한 외무성/KCNA,북한,,북 NATO 정상회의·한-NATO 협력 비난(7/10~11)— '비핵화는 미 동맹국부터' 주장·핵무력 질량 강화 조치 결정,KCNA(7/10 금)— 핵무력 '질적·양적(quantitatively and qualitatively)' 강화 조치 결정 보도; 7/11(토) 성명— NATO 정상회의 후 미·동맹 군사블록 강화·군비증강 규탄; '비핵화는 한·일의 미 핵우산하 핵추구·NATO 핵공유부터' 주장— 자국 비핵화 논의 '불가역적 종결' 재천명; 한·미·일 외교장관 비핵화 재확인(DB 7/9) 반발,,1,https://www.usnews.com/news/world/articles/2026-07-10/north-korea-condemns-us-allies-after-nato-summit-vows-to-safeguard-sovereignty
2026-07-19,북한,우크라이나 국방정보국(HUR),우크라이나 정보당국,,우크라 정보당국— 북한이 러시아 포병탄약 소요의 25~40% 공급(7/8 보도)— 군사협력 '체계화' 평가,HUR 평가— 북 러시아 포병탄약 소요 25~40% 공급; 2023년 6월 이후 탄도미사일 100발+·포병체계 600문·탄약 약 700만발 인도; 북 연간 포탄 100만~200만발 생산능력(월 최소 3만~5만발); 협력 '체계적(systemic)' 규정; 미 의회 대북제재·주한미군 태세 논거— NDAA 시즌 관찰,,2,https://www.kyivpost.com/post/79862
2026-07-20,산업,러셀 보트(OMB 국장)·데이브 매코믹 상원의원/한화 필리조선소,행정부·의회/한화,PA,한화 필리조선소 '골든 디펜더' 미사일 계측함 수주 발표(7/17 ET)— 골든돔 지원 MDA 계측함+MARAD NSMV 약 $15억 추가 건조,보트 OMB 국장 필라델피아 조선소 기념식(7/17) 발표— NSMV 설계 기반 미사일 계측함 '골든 디펜더' 건조; MDA 임무 수행(골든돔 지원); TOTE Services 건조관리; 노후 SS Pacific Tracker/Collector 대체; 보트 'These are U.S. shipyards. These are U.S. ships; and these are U.S. jobs(미국 조선소·미국 함정·미국 일자리)'; 매코믹(R-PA) 의원실— MARAD NSMV 사업 약 $15억·일자리 2000+(PA 국방혁신서밋 7/14~15 연계); RFI(DB 7/10)·트럼프 발언(DB 7/17) 트랙 첫 실물 발주 구체화— 한국 자본의 미국 내 건조 경로,,2,https://news.usni.org/2026/07/17/philly-shipyard-to-build-golden-defender-ship-as-part-of-new-missile-defense-program
2026-07-21,북한,북한군/RFA 시각조사,북한,,RFA 시각조사— 개성 이남 DMZ 인근 '드라이브스루' 격납고 21동 신축 확인(7/16 보도)— 서울 겨냥 로켓·미사일 인프라 추정,RFA 위성 시각조사— 2023~2025년 초 개성 이남 북한군 소규모 기지들에 길이 약 52m 균일 드라이브스루 격납고 최소 21동 신축; DMZ 북방 수 km·서울에서 약 52km; 갈골 미사일 운용기지 시설과 유사— TEL·MLRS 정비·저장 추정; 유사시 서울 등 남한 도시 초기 타격 전진 인프라 가능성; KJD 등 7/17~18 후속 보도; NDAA 주한미군 태세·확장억제 논쟁 논거 관찰,,1,https://www.rfa.org/english/korea/2026/07/16/north-korea-rocket-shelter-buildings/
2026-07-22,산업,김정관(산업통상자원부 장관)·하워드 러트닉(美 상무장관),한·미 정부,,김정관 산업장관 방미 출국(7/22)— 한미 조선협력센터(KUSPC) 워싱턴 개소식(7/23) 참석·대미 투자 1호 프로젝트 최종 조율; 쿠팡 분쟁 '와일드카드' 부상,7/22 출국·7/24 귀국; 7/23 워싱턴 KUSPC 개소식— 5월 출범 KUSPI 이행 현지 거점(투자유치·인력양성·조선소 생산성·기술교류); 러트닉 상무장관 참석 예정; 대미 투자 1호 프로젝트(조선·에너지 유력) 최종 조율 목표; 하원 법사위발 쿠팡 분쟁이 협상 변수— 의제 통상 전반 확장 전망; §122 10% 관세 만료(7/24 ET) 직전·§301 최종조치 미발표 국면; 강경화 귀국 협의(DB 7/16)·MASGA/RFI 트랙(DB 7/10; 7/17)의 제도화 후속,,2,https://www.koreaherald.com/article/10812747
2026-07-22,북한,최선희(북한 외무상)·세르게이 라브로프(러시아 외무장관),북한/러시아,,북러 외무장관 제3차 전략대화 모스크바 개최(7/20; KCNA 7/21)— 최선희 푸틴 예방; 미국의 한반도 정세 불안정화 비난,포괄적 전략동반자 조약 이행·고위급 교류·국제무대 외교 공조 협의; '토의된 모든 문제에서 견해일치(reached a consensus on all the issues brought up for discussion)'; 최선희 7/17 도착·7/19 크렘린 푸틴 예방; 쿠르스크 파병(약 1만4000명)·탄약 공급(DB 7/19) 등 북러 밀착 심화 맥락— 의회 대북 제재 강경파·NDAA 주한미군 태세 논거,,1,https://www.koreatimes.co.kr/foreignaffairs/20260721/n-korean-fm-holds-strategic-dialogue-with-russian-counterpart-meets-putin-kcna
2026-07-23,안보,조현·마코 루비오·모테기 도시미쓰(한미일 외교장관),한·미·일 정부,,한미일 외교장관회담 마닐라 개최(7/22)— 비핵화 원칙·강력한 대북 억제 태세 재확인,ASEAN/ARF 외교장관회의 계기 마닐라 회동(7/22)— '비핵화 원칙에 대한 공약 재확인(reaffirming their commitment to the principle of denuclearization)'·강력한 대북 억제(robust deterrence) 유지 의지; 의제— 한반도·중동·SMR·사이버범죄 공조; 대화·외교 통한 평화 유지 공조 지속 합의; 같은 계기 루비오-왕이 회동(이란 격화 후 첫 미중 고위접촉); 북중러 밀착(최선희 방러 DB 7/22)·미 전력 이란 분산 국면 3국 공조 신호; 올해 첫 회담(7/8 앙카라; DB 7/9) 후속,,2,https://www.upi.com/Top_News/World-News/2026/07/22/korea-US-Korea-Jaoan-diplomats-trilateral-meeting-Manila-security/1571784704197/
2026-07-23,통상,USTR(미 무역대표부),행정부,,§301 '강제노동' 관세 금주 발표 임박 보도(블룸버그; 7/22)— 한국 12.5% 배정·§122 만료(7/24)와 공백 없이 연결 방침,블룸버그(서울경제 경유 7/22)— USTR 금주 내 국가별 §301 강제노동 관세율 발표 예정; 한국 제안 세율 12.5%(정부 7/9 ET 공청회 '부당(unjustified)' 증언; DB 7/11); §122 10% 글로벌 관세 150일 상한 도달로 7/24 만료— 금주 발표 시 두 조치 간 공백 방지 구도; 관건— 강제노동·과잉생산 §301 합산 세율의 2025년 11월 합의 15% 상한 초과 여부; 김정관 방미(DB 7/22)·KUSPC 개소식(7/23)과 동주간— 협상 창 중첩,,2,https://en.sedaily.com/international/2026/07/22/us-to-announce-section-301-forced-labor-tariffs-this-week
2026-07-24,법안표결,미 하원,의회,,FY2027 NDAA 하원 통과(7/22 ET; 216-212; $1.15조)— 주한미군 28500명 감축 자금 제한 강화·해외 건조 전투함 조달 자금 금지(골든 수정안),하원 216-212 통과; USFK 조항 강화— NDAA 승인 자금뿐 아니라 'FY2026·2027 달리 가용한(otherwise made available)' 자금도 28500명 이하 감축 사용 금지; 확장억제 '전 범위(full range)' 공약 재확인; 골든(D-ME-02) 수정안— 해외 조선소 건조 전투함(battle force ships) 조달 계약 자금 금지; 단 'sense of Congress'로 한국 협력 지지·동맹 조선소 역량 통합 평가 약 $18.5억; 보조함 해외 건조 일부 허용한 상원(SASC)안과 컨퍼런스 관찰; HASC 초안(DB 7/20)의 본회의 확정,,3,https://www.koreatimes.co.kr/southkorea/defense/20260723/house-passes-defense-bill-with-stronger-language-on-maintaining-us-troops-in-korea
2026-07-24,통상,USTR·제이미슨 그리어(미 무역대표),행정부,,§301 '강제노동' 관세 최종 조치 발표(7/23 ET)— 60개 경제권; 한국은 EU·일본·대만·스위스와 비면제 품목 'MFN 차감 10% 또는 12.5%' 그룹; §122 만료(7/24)와 무공백 연결,USTR 최종 조치— 수입금지 시행·약속국 10%; 그 외 12.5%; EU·대만·일본·한국·스위스는 비면제 특정 품목에 MFN 차감(net of MFN) 10% 또는 12.5%; 원자재·공급차질 품목 면제; §122 10% 글로벌 관세 만료(7/24)와 공백 없이 연결— DB 7/23 예고 확정; 관건— 2025년 11월 합의 15% 상한 실질 저촉 여부(정부·증권가 '영향 제한적' 평가); 한국 '12.5% 부당' 증언(DB 7/11) 후속; 연방관보 세부 확인 필요,,3,https://ustr.gov/about/policy-offices/press-office/press-releases/2026/july/ustr-takes-action-forced-labor-section-301-investigations
2026-07-24,산업,김정관(산업장관)·하워드 러트닉(미 상무장관),한·미 정부,,한미 조선협력센터(KUSPC) 워싱턴 개소식 개최(7/23)— 러트닉 참석; KRISO·KIAT-텍사스A&M MOU; 김 장관 '1호 투자 프로젝트 이르면 8월 말 발표',KUSPI(5월 출범) 이행 현지 거점 개소— 투자유치·인력양성·조선소 생산성·기술교류; 러트닉·김정관·3대 조선사(HD한국조선해양·삼성중공업·한화오션) 경영진 참석; KRISO·KIAT-텍사스A&M 기술협력 MOU; 김 장관— 1호 투자 프로젝트(조선·에너지 유력) '이르면 다음달 말' 공개 전망; 방미(DB 7/22)·개소 예고(DB 7/23) 후속— 하원 해외 건조 금지(동일자 DB) 국면 속 미국 내 건조 라우팅 거점,PA 상원(McCormick 서사),2,https://www.koreatimes.co.kr/foreignaffairs/20260723/korea-us-expected-to-unveil-1st-investment-project-as-early-as-late-next-month-industry-minister
2026-07-24,북한,정동영(통일부 장관),한국 정부,,한국 '비핵화 우선' 폐기 공식화— '평화 우선(peace-first)' 대북정책 전환 발표(7/23),정동영— 이재명 정부 대북정책 '비핵화 우선'→'평화 우선' 전환 공식화; 동결→감축→비핵화 3단계; 신규 핵무기 생산 중단 시 상응 조치 전략 구체화 중; '미·중도 비핵화 우선 폐기' 주장— 빅터 차 '실패한 전략' 발언 인용; 한미일 외교장관 '비핵화 원칙' 재확인(7/22; DB 7/23) 익일 발표— 서울-워싱턴 순서 격차 가시화; 의회 대북 강경파·청문회 반응 관찰,,2,https://www.koreajoongangdaily.com/korea/south-korea-shifts-to-peacefirst-north-korea-policy-dropping-denuclearization-as-precondition-for-talks/12788809
2026-07-24,북한,미 국무부,행정부,,미 국무부 북한 여행금지 10년째 연장(연방관보 7/20 게재)— 2027-08-31까지,연방관보 고시— 미국 여권 북한 여행 금지 1년 연장(2017년 웜비어 사망 후 도입 이래 10년 연속); '체포·장기억류의 중대한 위험' 지속 판단; 관례적 연장— 정책 변화 없음,,1,https://www.nknews.org/2026/07/us-renews-north-korea-travel-ban-for-10th-year/
2026-07-25,통상,산업통상자원부·USTR,한·미 정부,,§301 강제노동 관세 발효(7/24 00:01 ET; 한국 12.5%)— 정부 '美 15% 총관세 상한 준수 재확인' 발표,산업통상자원부— 강제노동 §301·과잉생산 §301 합산 세율의 2025년 11월 합의 15% 상한 초과 불가 입장 전달; 미측 '기존 무역합의 준수' 재확인; 60개 경제권 10~12.5% 7/24 00:01 ET 발효(미 수입액 약 99.4% 커버)— §122 만료와 무공백 연결(DB 7/24 최종조치 후속); 7/28 이전 반입 운송중 화물 면제; 과잉생산 §301 별도 조사 합산 시 15% 실질 준수 여부 관찰,,2,https://www.koreatimes.co.kr/amp/foreignaffairs/20260724/korea-says-us-to-honor-15-tariff-cap-regarding-new-section-301-duties
2026-07-25,통상,미 재무부,행정부,,美 재무부 환율보고서— 한국 관찰대상국 4회 연속 유지(7/24),재무부 반기 환율보고서— 원화 지속 약세가 '견조한 경제 펀더멘털과 불일치(inconsistent with the country's strong economic fundamentals)' 지적; 환율조작국 지정 없음; 4회 연속 관찰대상국; §301 12.5% 발효·15% 상한 협의(동일자 DB)와 동주간 통상 마찰 변수,,2,https://www.upi.com/Top_News/World-News/2026/07/24/united-states-keeps-skorea-currency-monitoring-list/2071784929999/
2026-07-25,인사,미셸 스틸(주한대사),미 행정부,,미셸 스틸 주한대사 '다음 주 서울 부임' 발표(7/24; KUSPC 개소식 계기)— 약 1년 반 공석 해소 임박,스틸 대사(6/17 상원 인준) 워싱턴 KUSPC 개소식 참석 계기 연합뉴스 질의 답변— 다음 주 서울 출국; 'strengthening the Seoul-Washington alliance as her top priority(한미동맹 강화가 최우선)'; 전 공화당 하원의원(CA-45)— 한인 정치인 트랙; '두 대사의 교차'(DB 7/19) 완결 수순— 쿠팡·관세·북핵 의제 산적 국면 부임,,1,https://www.koreajoongangdaily.com/korea/new-us-ambassador-steel-says-she-will-depart-for-korea-next-week/12789662
2026-07-25,법안표결,존 튠(상원 원내대표)·상원,의회,,상원 FY2027 NDAA(S.4784) 재정체— 튠 진행동의 제출 후 당일 철회(7/23),튠 7/23 오전 10:13 S.4784 진행동의 제출 후 오후 2:50 철회— 7/14 클로처 부결(50-46; DB 7/15) 이후 재시도 불발; 상원 본회의 일정 불투명; 하원 통과본(7/22; USFK 28500 하한·해외건조 전투함 금지; DB 7/24)과의 컨퍼런스 지연 리스크; 상원 잔여 회기 ~8/6-7 내 처리 여부 관찰,,1,https://www.dailypress.senate.gov/thursday-july-23-2026/
2026-07-27,북한,볼로디미르 젤렌스키(우크라이나 대통령),우크라이나 정부,,젤렌스키— 러시아; 북한군 3만 추가 수용 준비(보로네시주)·북 탄도미사일 발사대 추가 이전 준비(7/25 X 게시),'Russia wants to receive another 30000 troops from North Korea(러시아가 북한군 3만을 추가로 받으려 한다)'— 6월부터 보로네시주 수용 준비; 북 탄도미사일 발사대 추가 이전 준비 주장; 'a threat to everyone in Asia who is within range of North Korean missiles(북 미사일 사거리 내 아시아 모두에 대한 위협)' 경고; 최선희 방러·푸틴 예방(DB 7/22) 직후— 기존 쿠르스크 파병 약 2만(전선 1만4000) 대폭 확대 가능성; 미 의회 대북 제재 강경파·NDAA 주한미군 태세 논거 관찰,,2,https://www.koreatimes.co.kr/foreignaffairs/northkorea/20260726/russia-preparing-to-receive-another-30000-n-korean-troops-for-ukraine-war-zelenskyy
2026-07-27,통상,여한구(통상교섭본부장)·빌 해거티·에이드리언 스미스,한국 정부/미 의회,,여한구 방미(7/21~24)— 상·하원 의원 10인 면담 '한국 디지털 정책; 미 기업 차별 아냐'— 쿠팡 논란 진화(7/25 보도),해거티(R-TN)·스미스(하원 세입위 무역소위원장) 등 10인 면담— 한국 디지털 법·정책 미 기업 비차별 설명; 하원 법사위 7월 초 '차별' 보고서(쿠팡 'harassment campaign' 규정)에 주미대사관 반박 서한; 구글·애플·AWS·퀄컴·일라이릴리·메트라이프·GM 면담; 쿠팡 3700만명 정보유출 $4억+ 과징금 배경; §301 15% 상한 협의·1호 투자 프로젝트(DB 7/22; 7/24)와 얽힌 와일드카드,,2,https://en.sedaily.com/finance/2026/07/25/yeo-han-koo-tells-10-us-lawmakers-korea-does-not
2026-07-27,선거연계,영 김(Young Kim; R-CA-40),미 의회(공화),CA-40,영 김 하원 외교위 동아태소위원장— 초당파 CODEL 하와이 RIMPAC 참관(7/21 보도자료),에드 케이스(D-HI-01) 주도 초당파 하원 대표단— 헝 카오 해군장관대행·파파로 INDOPACOM 사령관 동행; 세계 최대 다국적 해상훈련 RIMPAC 참관; 한국 사상 첫 해상구성군사령부(CMC) 지휘 회차(DB 7/13)와 접점— 한미 해군 협력 서사; 한국계 현역(공화)의 경합 선거구 안보 행보,CA-40,1,https://youngkim.house.gov/2026/07/21/east-asia-and-pacific-chair-young-kim-joins-congressional-delegation-to-hawaii/
2026-07-27,북한,NK News(분석)/이재명 정부·북한,언론/한·북,,NK News 분석— 이재명 정부 대북정책 '리셋'; 필요를 못 느끼는 평양에 발목,확성기 중단·전단 제한 등 긴장완화에도 북 대화 재개 무관심— 서울 제안 거부·'대결 정책' 비난; 공식 용어 '북한 비핵화' 삭제→'핵 없는 한반도' 대체; '평화 우선' 공식화(DB 7/24) 후속 분석— 평양 무반응이 실효성 제약; 한미일 '비핵화' 재확인(DB 7/23)과의 표현 격차 지속— 미 의회 강경파 '유화책 무용론' 논거 가능,,1,https://www.nknews.org/2026/07/lees-north-korea-policy-reset-waits-on-a-pyongyang-that-sees-no-need/
2026-07-28,법안표결,존 튠(상원 원내대표)·상원,의회,,상원 FY2027 NDAA(S.4784) 클로처 재부결(7/27 ET; 50-46)— 7/14에 이은 두 번째 표결 불발; 하원 통과 한국 조항 컨퍼런스 지연 심화,상원 7/27 진행동의 클로처 50-46 부결(60표 미달; 사실상 당론)— 튠 재의동의 위해 '반대' 전환; 불참— 페터먼·저스티스·매코널·파디야; 7/14 부결(50-46; DB 7/15)·7/23 제출-철회(DB 7/25) 후속; 하원 통과본 한국 조항(USFK 28500 자금 하한— NDAA 외 자금 포함; 해외 건조 전투함 조달 금지; DB 7/24) 컨퍼런스 진입 불가 지속; 상원 잔여 회기 ~8/6-7 내 처리 여부 관찰,,2,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1192/vote_119_2_00195.htm
2026-07-28,북한,김여정(노동당 중앙위 부부장),북한,,김여정— ASEAN ARF 의장성명 '비핵화' 촉구에 '어리석고 미련한(stupid and foolish)' 담화(7/27 KCNA),제33차 ARF 의장성명 북핵 '중대 우려(grave concern)'에 반박— '한반도 비핵화' 고수는 'a failure in strategic thinking and logic and a manifestation of a stupid and foolish wild dream(전략적 사고와 논리의 실패이자 어리석고 미련한 헛된 꿈의 발로)'; ASEAN 'hired mouthpiece for the US(미국의 고용된 대변자)' 오용 경고; 러시아 마닐라 계기 북 핵보유 옹호 직후; 한미일 '비핵화 원칙' 재확인(7/22; DB 7/23)·서울 '평화 우선'(DB 7/24)과의 격차 노출— 의회 강경파 논거,,2,https://www.nknews.org/2026/07/kim-yo-jong-lambasts-stupid-denuclearization-calls-by-asean-forum/
2026-07-28,북한,김정은·김주애,북한,,김정은 정전협정 73주년 참배— 딸 주애 첫 동행(7/27),정전 73주년 계기 전사자 묘역 참배·참전용사 면담·'위대한 승리' 서사 반복; 주애 기념행사 동행— 의전 대형 중앙 배치 등 공개 위상 상승; 후계 신호 연속선— 북한 '장기·세습 핵위협' 규정 의회 논쟁 배경,,1,https://www.nbcnews.com/world/north-korea/kim-jong-un-marks-war-anniversary-daughter-side-rcna589390
2026-07-28,인사,미셸 스틸(주한대사),미 행정부,,스틸 주한대사 7/30(목) 서울 도착 예정(7/27 보도)— 약 1년 반 공석 해소; 신임장 사본 제출 이르면 다음 주,서울 소식통(7/27)— 목요일(7/30) 도착; 신임장 사본 제출은 조현 외교장관 남미 순방(이재명 대통령 수행) 귀국 후 이르면 다음 주; 2025년 1월 골드버그 이임 후 공석; 성 김 이은 두 번째 한국계 주한대사; '한미동맹 강화 최우선(top priority)' 재확인; 대미 투자·15% 관세 상한·민수 원자력·핵추진잠수함·동맹 현대화 의제 산적 국면; DB 7/25(출국 발표) 후속,,1,https://www.koreajoongangdaily.com/korea/new-us-envoy-steel-to-arrive-in-seoul-amid-pileup-of-bilateral-issues/12794100
2026-07-29,북한,주유엔 미국대표부,행정부,,美 유엔 1718위원회에 대북제재 위반 선박 7척 추가 지정 신청(7/27 ET)— 지정 대기 총 14척,작년 12월 1차에 이은 2차 공식 동의안— Open Source Centre 조사 인용(UNSCR 2371 위반; 북한산 석탄·철광석 운송); 지정 대기 총 14척— 한국이 3월 억류한 화물선 포함; OSTROV ANTSIFEROVA(IMO 9178070)·EVERSUN(IMO 8356962) 등; 1718위원회 정체 속 중·러 저지 여부 관찰— 오늘자 무역 반등 데이터(동일자 DB)와 함께 집행 압박 서사,,2,https://www.nknews.org/2026/07/us-seeks-un-blacklist-for-7-vessels-tied-to-sanctioned-north-korea-trade/
2026-07-29,북한,김정은/이재명,북한/한국 정부,,김정은 전승절 73주년 행사서 '반제반미 대결전 승리' 다짐(KCNA)— 이재명은 워싱턴 참전용사 기념식 대독 연설로 한미동맹 공고화 다짐,KCNA— 조국해방전쟁승리기념관 방문 뒤 'become honorable victors in the anti-imperialist; anti-U.S. showdown(반제반미 대결전의 영예로운 승리자)' 다짐; 올해 V-Day 행사 중국 참전 지원 이례적 부각(북러 밀착 국면); 이재명— 워싱턴 한국전 참전용사 기념식 대독 연설서 동맹 공고화·자유와 평화 수호 다짐; 김정은 참배·주애 동행(DB 7/28) 후속— 담화·중국 부각 신규,,1,https://www.yahoo.com/news/articles/north-koreas-kim-vows-win-220633686.html
2026-07-29,북한,북한/중국,북한/중국,,북한 2025년 대외무역 반등— 대중국 의존도 사상 최고 수준 근접(NK News 데이터 분석; 7/28),북중 무역 전년 대비 25% 증가 $27.3억— 팬데믹 전 2019년($27.9억) 수준 근접 회복; 대중 의존도 사상 최고 수준 근접; 아시아 중심 교역에 유럽·아프리카 일부 유지; 중국 생명선 통한 제재 실효성 약화 서사— 강경파(집행 강화; 동일자 선박 지정 신청)·회의론(제재 한계) 양측 논거,,1,https://www.nknews.org/2026/07/north-koreas-trade-rebounds-as-reliance-on-china-reaches-near-record-high/
2026-07-30,인사,미셸 스틸(주한대사),미 행정부,,스틸 주한대사 서울 도착일(7/30 오후 3:20 인천; LA발)— 약 1년 반 공석 종지부·트럼프 2기 첫 주한대사 부임,7/30 오후 3:20 인천공항 도착 예정 보도(7/29); 2025년 1월 골드버그 이임 후 약 1년 반 공석 해소; 트럼프 복귀 후 첫 부임·성 김 이은 두 번째 한국계 주한대사; 신임장 사본 제출은 조현 외교장관 남미 순방(이재명 대통령 수행) 귀국 후 이르면 다음 주; 당면 의제— 쿠팡 분쟁(하원 법사위 보고서)·§301 15% 상한·대미 투자 1호 프로젝트·북핵·핵추진잠수함; 전 공화당 하원의원(CA)— 한인 정치인 트랙; DB 7/25(출국 발표)·7/28(도착 예정) 후속 완결,,1,https://www.koreatimes.co.kr/foreignaffairs/20260729/new-us-top-envoy-to-arrive-in-seoul-thursday-faces-coupang-n-korea-tests
2026-07-30,북한,블라디미르 푸틴·안드레이 포델리셰프(신임 주북 러시아대사),러시아,,푸틴— 신임 주북 러시아대사에 '한국통' 포델리셰프 임명(7/28 대통령령)— 마체고라 사망 후 약 8개월 공석 해소,푸틴 7/28(화) 대통령령— 주나이지리아 대사(2024년 12월~) 포델리셰프를 주북대사로 임명·나이지리아직 해임; 마체고라 장기 재임 대사 사망 후 약 8개월 공석 종지부; 한국 전문 외교관('Korea specialist'); 부임 시점 미정; 북러 밀착 국면(파병 확대 준비 DB 7/27; 최선희 방러 DB 7/22) 속 평양 주재 라인 정비— 관계 관리 강화 신호; 미 의회 대북 제재 강경론·NDAA 논쟁 배경 변수,,1,https://www.nknews.org/2026/07/russia-picks-new-ambassador-to-north-korea-months-after-longtime-envoys-death/
2026-07-31,인사,미셸 스틸(주한대사),미 행정부,,스틸 주한대사 서울 도착·첫 메시지(7/30)— '철통같은(ironclad) 동맹' 강화 다짐; 약 1년 반 공석 실제 종결,인천공항 7/30 오후 도착— 'born in Seoul(서울에서 태어나)' 이제 'to represent the United States(미국을 대표해)' 한국 국민 앞에 섰다고 소개; 'one of the strongest alliances in the world(세계에서 가장 강력한 동맹의 하나)' 강화 다짐— 트럼프 구상 이행 명시; 공항 주변 환영·반대 시위 병존; 신임장 사본 제출은 조현 외교장관 귀국 후 이르면 다음 주; 쿠팡 분쟁·15% 상한·1호 투자 프로젝트·북핵 현안 산적 국면 부임; DB 7/25(출국 발표)·7/28(도착 예정)·7/30(도착일) 후속 완결,,1,https://www.koreatimes.co.kr/foreignaffairs/20260730/new-us-envoy-vows-to-advance-trumps-vision-for-ironclad-korea-alliance
2026-07-31,산업,한화 필리조선소(Hanwha Philly Shipyard)·한화시스템즈,한화(기업),PA,한화 필리조선소— 한국산 강재·중국 건조 선박(HMM Nabi) 운송 기자재 반입하며 미국 내 건조 본격화; 2분기 적자 $1500만으로 축소(7/29 실적; 7/30 보도),필라델피아 항만 노동자들 금주 HMM Nabi(중국 건조)에서 연료탱크 등 수입 기자재 하역— 미국 항로 미국 건조 선박 의무(존스법 체계) 하 한화 착공 선박 투입; 한화시스템즈 투자자 설명(7/29)— 2분기 손실 약 $1500만(직전 분기 $3300만·전년 $2200만 대비 축소)·매출 $1.6억(분기 +40%·전년 +50%); MASGA·KUSPC(DB 7/24) 현장 이행 지표— '미국 건조'의 한국산 강재·중국 물류 의존 구조는 하원 해외 건조 금지 조항(DB 7/24) 논쟁 소재 가능,PA 상원(McCormick 서사),1,https://www.inquirer.com/business/hanwha-philly-shipyard-fuel-steel-imports-american-ships-20260730.html
2026-07-31,산업,KEI(한미경제연구소)/삼성중공업,싱크탱크/기업,,KEI Q2 2026 한미 무역·투자 대장(Ledger) 발간(7/30)— 삼성중공업 루이지애나 $29억 FLNG 미국 첫 수주 등 에너지·AI·방산 투자 확산 정리,새 관세 프레임워크 하 한국 투자의 전략 부문(에너지·AI·방산) 확산 패턴 정리— 삼성중공업 컨소시엄 루이지애나 연안 $29억 부유식 LNG(FLNG) 프로젝트 수주(미국 내 최초 사례); AI 데이터센터 전력망·SMR 협력이 후속 파트너십 틀 전망; $250B/$350B 투자 약정 분기 이행 실적 축적— '1호 투자 프로젝트' 8월 말 발표(DB 7/24) 전 배경 지표,,1,https://keia.org/analysis/q2-2026-u-s-south-korea-trade-and-investment-ledger/
